,0
0,Mississippi
1,Louisiana
2,Utah
3,Connecticut
4,West Virginia
5,Idaho
6,Michigan
7,Arkansas
8,Massachusetts
9,North Carolina
10,South Dakota
11,Delaware
12,Illinois
13,Wisconsin
14,North Dakota
15,Colorado
16,Missouri
17,Alabama
18,Oklahoma
19,Oregon
20,Virginia
21,Alaska
22,Maryland
23,Hawaii
24,Florida
25,New Hampshire
26,Montana
27,Indiana
28,Kentucky
29,New Jersey
30,South Carolina
31,Nebraska
32,Wyoming
33,Pennsylvania
34,Vermont
35,Kansas
36,Maine
37,Iowa
38,Georgia
39,Rhode Island
40,New Mexico
41,Minnesota
42,Tennessee
43,Arizona
